X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1857692.204,6305390.373,3874,14939,4730,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Dědická 24,Dědická,1017,A,2023/05/16 00:00:00+00,{A940A3DC-C8D1-47B0-BE63-E6A8445EABF1}
1847348.92,6305423.784,3875,6500,3187,Sklo duo - bílé,Sklo bílé,1125,1x14 lichý,SAKO,N,A,N,N,N,N,N,,2022/02/15 00:00:00+00,,,,,,,14,,,,,,Vídeňská 66,Vídeňská,275,A,2023/05/16 00:00:00+00,{F34E71BA-C285-4418-894A-6082B7FCF724}
1848004.514,6309637.621,3876,7169,3432,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Tučkova 2,Tučkova,766,A,2023/05/16 00:00:00+00,{D234742D-262D-401A-8628-E6A1D881A586}
1843346.049,6305084.701,3877,23219,3355,,Papír,1100,1x týdně,SAKO,N,A,N,N,N,N,N,,2021/09/21 00:00:00+00,,,,,,,7,,,,,,Kamínky 5 - TŘÍĎOUN,Kamínky,368,N,2023/05/16 00:00:00+00,{FE1AA7CF-182B-4BAF-91A7-AC79EED5DF69}
1849782.565,6313250.772,3878,21740,10110,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Kosatcová 40,Kosatcová,316,A,2023/05/16 00:00:00+00,{50750A65-31F3-439C-A631-00DD3DF0058A}
1848976.344,6308873.485,3879,25866,4797,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2019/01/16 00:00:00+00,,,,,,,7,,,,,Koliště 11 - v domě,Koliště,1911,N,2023/05/16 00:00:00+00,{FD02184B-BA94-42A5-913F-8371D524FD9A}
1850814.396,6314429.059,3880,4696,2580,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Haškova 13,Haškova,150,A,2023/05/16 00:00:00+00,{2515A15D-48A4-4972-83E4-9C86042C2BF6}
1857200.662,6309147.572,3881,24326,2856,,Biologický odpad,240,1x týdně,SAKO,A,N,N,N,N,N,N,2021/04/19 00:00:00+00,,,,,,,7,,,,,,,Mezicestí 6,Scheinerova,3016,A,2023/05/16 00:00:00+00,{25C8CB08-2462-4A75-8415-E6274F8F3546}
1849934.861,6314372.001,3882,6416,3156,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Loosova 1,Loosova,262,A,2023/05/16 00:00:00+00,{0F0A3BB8-4B9B-473A-9174-9B616462AF28}
1840527.15,6307732.308,3883,24245,2799,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2021/04/20 00:00:00+00,,,,,,,7,,,,,,Talichova x Bašného,Talichova,421,A,2023/05/16 00:00:00+00,{107388D5-83D6-40DB-91A3-4BA0B45D5ABE}
1851017.075,6315035.092,3884,7827,3711,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Dusíkova - vedle SSO,Kupkova,635,A,2023/05/16 00:00:00+00,{7452EA8F-EF60-4D84-AF70-0AF8A0665689}
1838615.928,6312192.274,3885,24112,2728,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/04/14 00:00:00+00,,,,,,,7,,,,,Ondrouškova 15,Ondrouškova,847,A,2023/05/16 00:00:00+00,{834092CB-0E92-4B38-8F1A-59D972BF9AFE}
1850694.505,6312964.637,3886,13757,2578,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Halasovo nám. 5 (restaurace),Halasovo náměstí,842,A,2023/05/16 00:00:00+00,{F8237F32-D8CA-4799-93A4-CA1EB48B0026}
1846220.352,6311143.47,3887,24698,3003,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/04/14 00:00:00+00,,,,,,,7,,,,,Klímova 16,Klímova,2054,A,2023/05/16 00:00:00+00,{CA538030-C0F1-4C7E-8236-797AAA2B652A}
1850048.073,6314554.309,3888,4700,2581,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Jurkovičova 7,Jurkovičova,250,A,2023/05/16 00:00:00+00,{496CE0B5-6839-477D-9C17-A62C94ECA067}
1843039.03,6312160.608,3889,25875,3288,,Biologický odpad,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/04/14 00:00:00+00,,,,,,,7,,,,,Absolonova 51,Absolonova,827,A,2023/05/16 00:00:00+00,{6111B217-D259-49E0-B116-AA2C744EDB73}
1851494.647,6313793.375,3890,8288,2573,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2022/02/14 00:00:00+00,,,,,,,14,,,,,,,Barvy  6,Barvy,784,A,2023/05/16 00:00:00+00,{2C56284F-A18E-4E97-8875-9CB549130346}
1839961.347,6307714.576,3891,25939,10811,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2022/04/19 00:00:00+00,,,,,,,7,,,,,,Bellova 4,Bellova,358,A,2023/05/16 00:00:00+00,{7F34A45C-53DC-4041-9600-A4A6690F6EE7}
1846251.321,6312009.523,3892,24287,10179,,Biologický odpad,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2021/04/22 00:00:00+00,,,,,,,7,,,,Hradecká 12,Hradecká,1879,A,2023/05/16 00:00:00+00,{19E4D837-062B-46AB-A51C-B9AC15C7DB55}
1845144.004,6311156.558,3893,26123,6551,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2019/01/15 00:00:00+00,,,2019/01/11 00:00:00+00,,,,7,,,7,,,Horova 31,Horova,1654,A,2023/05/16 00:00:00+00,{BAEE3A31-121E-44B0-893B-584DEF888DC0}
1846491.426,6316808.654,3894,24449,2916,,Biologický odpad,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2021/04/22 00:00:00+00,,,,,,,7,,,,Novoměstská  2,Novoměstská,1965,A,2023/05/16 00:00:00+00,{67F8A168-05AC-4760-BF07-EF3887434431}
1851547.735,6312393.352,3895,25980,10817,,Papír,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/04/21 00:00:00+00,,,,,,,7,,,,Marie Majerové 13 - v domě,Marie Majerové,480,N,2023/05/16 00:00:00+00,{03821B75-EEC0-4215-AAC9-740FD095889A}
1857252.637,6304811.444,3896,25761,10788,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,1x týdně,SAKO,N,N,A,N,N,N,N,,,2022/03/23 00:00:00+00,,,,,,,7,,,,,Černozemní 23,Černozemní,924,A,2023/05/16 00:00:00+00,{1E2C5124-A935-4757-A764-FEA54006A7B8}
1850150.809,6313663.005,3897,26431,10782,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2022/03/09 00:00:00+00,,,,,,,7,,,,,Fillova 12 - v domě,Fillova,109,N,2023/05/16 00:00:00+00,{FBB0DAFC-D14F-42D2-A1FD-BC5624430635}
1842844.711,6310186.177,3898,25773,3078,,Papír,1100,2x týdně,SAKO,A,N,N,A,N,N,N,2019/07/08 00:00:00+00,,,2019/07/11 00:00:00+00,,,,7,,,7,,,,Gellnerova 8,Gellnerova,879,A,2023/05/16 00:00:00+00,{7AB45AB8-F698-49BD-BFB1-0A124FD4ED57}
1851547.735,6312393.352,3899,25979,10817,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2022/04/21 00:00:00+00,,,,,,,7,,,,Marie Majerové 13 - v domě,Marie Majerové,480,N,2023/05/16 00:00:00+00,{A9343E9F-2FC6-442F-A3E5-8347A9B1EC36}
1847142.378,6309413.2,3900,24660,7076,,Biologický odpad,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2021/04/23 00:00:00+00,,,,,,,7,,,Úvoz 110 - 116,Úvoz,445,A,2023/05/16 00:00:00+00,{C516AE36-9BBB-486D-81D4-0B84492B3CBC}
1847736.345,6310182.275,3901,26009,10833,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2022/05/11 00:00:00+00,,,,,,,7,,,,,Zahradníkova 13 - v domě,Zahradníkova,929,N,2023/05/16 00:00:00+00,{CFD29CA7-6139-4443-AD27-4277B08D1A61}
1852558.26,6306083.515,3902,24965,2498,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,2x týdně,SAKO,A,N,N,A,N,N,N,2023/03/06 00:00:00+00,,,2021/03/18 00:00:00+00,,,,7,,,7,,,,Húskova - SSO,Kneslova,697,A,2023/05/16 00:00:00+00,{1481D8CD-E824-47FB-89DF-4D28945DEA3B}
1846180.834,6307784.791,3903,26048,10843,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2022/06/15 00:00:00+00,,,,,,,7,,,,,Jeřabinová 21 - v domě,Jeřabinová,1013,N,2023/05/16 00:00:00+00,{08AD2BFC-C17D-4CC9-8412-BF17D74A410D}
1851424.928,6308785.952,3904,24774,3823,,Biologický odpad,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2021/04/23 00:00:00+00,,,,,,,7,,,Kuldova x Šámalova,Šámalova,653,A,2023/05/16 00:00:00+00,{19CB12DB-24A4-4880-9460-4041E602989B}
1847376.038,6306098.451,3905,26052,10844,,Papír,240,1x týdně,SAKO,A,N,N,N,N,N,N,2022/06/06 00:00:00+00,,,,,,,7,,,,,,,Vídeňská 17 - v domě,Vídeňská,235,N,2023/05/16 00:00:00+00,{2318D7F4-CD79-4774-8E20-766898092607}
1854741.369,6310230.342,3906,24843,2995,,Biologický odpad,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2021/04/23 00:00:00+00,,,,,,,7,,,Prušánecká 9,Prušánecká,4208,A,2023/05/16 00:00:00+00,{F9F5FD45-28D4-4741-A0A9-B25D6C146358}
1847376.038,6306098.451,3907,26051,10844,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,A,N,N,N,N,N,N,2022/06/06 00:00:00+00,,,,,,,7,,,,,,,Vídeňská 17 - v domě,Vídeňská,235,N,2023/05/16 00:00:00+00,{798B731D-FE24-49E0-A658-952D509DE9D0}
